rank,title,singer
1위,마음을 드려요,아이유
2위,아무노래,지코 (ZICO)
3위,둘만의 세상으로 가,Crush
4위,METEOR,창모 (CHANGMO)
5위,"다시 난, 여기",백예린
6위,Psycho,Red Velvet (레드벨벳)
7위,Black Swan,방탄소년단
8위,Blueming,아이유
9위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
10위,늦은 밤 너의 집 앞 골목길에서,노을
11위,너를 사랑하고 있어,백현 (BAEKHYUN)
12위,HIP,마마무 (Mamamoo)
13위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
14위,어떤 날엔,김재환
15위,봄날,방탄소년단
16위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
17위,소우주 (Mikrokosmos),방탄소년단
18위,Flower,윤미래
19위,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉"
20위,Square (2017),백예린
21위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
22위,빌었어,창모 (CHANGMO)
23위,Love poem,아이유
24위,IDOL,방탄소년단
25위,내 마음의 사진,송가인
26위,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
27위,Make It Right,방탄소년단
28위,안녕,폴킴
29위,사랑이란 멜로는 없어,전상근
30위,노을,다비치
31위,Dionysus,방탄소년단
32위,2002,Anne-Marie
33위,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
34위,다시 만날까 봐,V.O.S
35위,조금 취했어 (Prod. 2soo),임재현
36위,시작,가호 (Gaho)
37위,Paris In The Rain,Lauv
38위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
39위,나의 오랜 연인에게,다비치
40위,우리 왜 헤어져야 해,신예영
41위,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은"
42위,잘 지내고 있는지 궁금해,V.O.S
43위,bad guy,Billie Eilish
44위,나의 모든 날,세정
45위,이별주,황인욱
46위,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
47위,너를 만나,폴킴
48위,헤어진 우리가 지켜야 할 것들,"김나영, 양다일"
49위,기억해줘요 내 모든 날과 그때를,거미
50위,시든 꽃에 물을 주듯,HYNN (박혜원)
